name,filename,original_file_type,processing_notes,preprocessed_file_type,preparation_timestamp,minimized_successfully,relative_path,finish_successfully,alchemical_successfully,preprocessed_file_path,original_file_path,analysis_successfully,free_energy_error,alchemical_timestamp,pdb_id,preprocess_timestamp,prepared_system_path,ligand_atom_count,free_energy_value,analysis_result_path,analysis_timestamp,processed_successfully,alchemical_result_path
i060,i060.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i060.pdb,./dataset/raw/MNSol/water/i060.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0444pho,0444pho.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0444pho.pdb,./dataset/raw/MNSol/water/0444pho.xyz,False,0.0,,444P,2025-12-02 20:48:06,,0,0.0,,,True,
0140dim,0140dim.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0140dim.pdb,./dataset/raw/MNSol/water/0140dim.xyz,False,0.0,,140D,2025-12-02 20:48:06,,0,0.0,,,True,
test1004,test1004.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1004.pdb,./dataset/raw/MNSol/water/test1004.xyz,False,0.0,,1004,2025-12-02 20:48:06,,0,0.0,,,True,
0560tri,0560tri.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0560tri.pdb,./dataset/raw/MNSol/water/0560tri.xyz,False,0.0,,560T,2025-12-02 20:48:06,,0,0.0,,,True,
0236oct,0236oct.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0236oct.pdb,./dataset/raw/MNSol/water/0236oct.xyz,False,0.0,,236O,2025-12-02 20:48:06,,0,0.0,,,True,
0932tri,0932tri.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0932tri.pdb,./dataset/raw/MNSol/water/0932tri.xyz,False,0.0,,932T,2025-12-02 20:48:06,,0,0.0,,,True,
n010,n010.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n010.pdb,./dataset/raw/MNSol/water/n010.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0198chl,0198chl.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0198chl.pdb,./dataset/raw/MNSol/water/0198chl.xyz,False,0.0,,198C,2025-12-02 20:48:06,,0,0.0,,,True,
test4002,test4002.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test4002.pdb,./dataset/raw/MNSol/water/test4002.xyz,False,0.0,,4002,2025-12-02 20:48:06,,0,0.0,,,True,
i119,i119.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i119.pdb,./dataset/raw/MNSol/water/i119.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0562met,0562met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0562met.pdb,./dataset/raw/MNSol/water/0562met.xyz,False,0.0,,562M,2025-12-02 20:48:06,,0,0.0,,,True,
test5001,test5001.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test5001.pdb,./dataset/raw/MNSol/water/test5001.xyz,False,0.0,,5001,2025-12-02 20:48:06,,0,0.0,,,True,
c091,c091.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/c091.pdb,./dataset/raw/MNSol/water/c091.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test2022,test2022.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test2022.pdb,./dataset/raw/MNSol/water/test2022.xyz,False,0.0,,2022,2025-12-02 20:48:06,,0,0.0,,,True,
n176,n176.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n176.pdb,./dataset/raw/MNSol/water/n176.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i019,i019.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i019.pdb,./dataset/raw/MNSol/water/i019.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test1040,test1040.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1040.pdb,./dataset/raw/MNSol/water/test1040.xyz,False,0.0,,1040,2025-12-02 20:48:06,,0,0.0,,,True,
0174chl,0174chl.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0174chl.pdb,./dataset/raw/MNSol/water/0174chl.xyz,False,0.0,,174C,2025-12-02 20:48:06,,0,0.0,,,True,
c065,c065.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/c065.pdb,./dataset/raw/MNSol/water/c065.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
c066,c066.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/c066.pdb,./dataset/raw/MNSol/water/c066.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test1056,test1056.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1056.pdb,./dataset/raw/MNSol/water/test1056.xyz,False,0.0,,1056,2025-12-02 20:48:06,,0,0.0,,,True,
0080hex,0080hex.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0080hex.pdb,./dataset/raw/MNSol/water/0080hex.xyz,False,0.0,,80HE,2025-12-02 20:48:06,,0,0.0,,,True,
test4001,test4001.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test4001.pdb,./dataset/raw/MNSol/water/test4001.xyz,False,0.0,,4001,2025-12-02 20:48:06,,0,0.0,,,True,
0934dim,0934dim.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0934dim.pdb,./dataset/raw/MNSol/water/0934dim.xyz,False,0.0,,934D,2025-12-02 20:48:06,,0,0.0,,,True,
0120met,0120met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0120met.pdb,./dataset/raw/MNSol/water/0120met.xyz,False,0.0,,120M,2025-12-02 20:48:06,,0,0.0,,,True,
0471dim,0471dim.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0471dim.pdb,./dataset/raw/MNSol/water/0471dim.xyz,False,0.0,,471D,2025-12-02 20:48:06,,0,0.0,,,True,
0230eth,0230eth.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0230eth.pdb,./dataset/raw/MNSol/water/0230eth.xyz,False,0.0,,230E,2025-12-02 20:48:06,,0,0.0,,,True,
0552flu,0552flu.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0552flu.pdb,./dataset/raw/MNSol/water/0552flu.xyz,False,0.0,,552F,2025-12-02 20:48:06,,0,0.0,,,True,
0119met,0119met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0119met.pdb,./dataset/raw/MNSol/water/0119met.xyz,False,0.0,,119M,2025-12-02 20:48:06,,0,0.0,,,True,
test1006,test1006.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1006.pdb,./dataset/raw/MNSol/water/test1006.xyz,False,0.0,,1006,2025-12-02 20:48:06,,0,0.0,,,True,
0545flu,0545flu.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0545flu.pdb,./dataset/raw/MNSol/water/0545flu.xyz,False,0.0,,545F,2025-12-02 20:48:06,,0,0.0,,,True,
0566met,0566met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0566met.pdb,./dataset/raw/MNSol/water/0566met.xyz,False,0.0,,566M,2025-12-02 20:48:06,,0,0.0,,,True,
0244tet,0244tet.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0244tet.pdb,./dataset/raw/MNSol/water/0244tet.xyz,False,0.0,,244T,2025-12-02 20:48:06,,0,0.0,,,True,
n189,n189.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n189.pdb,./dataset/raw/MNSol/water/n189.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i114,i114.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i114.pdb,./dataset/raw/MNSol/water/i114.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i040,i040.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i040.pdb,./dataset/raw/MNSol/water/i040.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i004,i004.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i004.pdb,./dataset/raw/MNSol/water/i004.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
n190,n190.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n190.pdb,./dataset/raw/MNSol/water/n190.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0586dim,0586dim.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0586dim.pdb,./dataset/raw/MNSol/water/0586dim.xyz,False,0.0,,586D,2025-12-02 20:48:06,,0,0.0,,,True,
n184,n184.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n184.pdb,./dataset/raw/MNSol/water/n184.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0214tri,0214tri.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0214tri.pdb,./dataset/raw/MNSol/water/0214tri.xyz,False,0.0,,214T,2025-12-02 20:48:06,,0,0.0,,,True,
i027,i027.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i027.pdb,./dataset/raw/MNSol/water/i027.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
c073,c073.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/c073.pdb,./dataset/raw/MNSol/water/c073.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test5004,test5004.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test5004.pdb,./dataset/raw/MNSol/water/test5004.xyz,False,0.0,,5004,2025-12-02 20:48:06,,0,0.0,,,True,
i021,i021.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i021.pdb,./dataset/raw/MNSol/water/i021.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i076,i076.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i076.pdb,./dataset/raw/MNSol/water/i076.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0428ami,0428ami.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0428ami.pdb,./dataset/raw/MNSol/water/0428ami.xyz,False,0.0,,428A,2025-12-02 20:48:06,,0,0.0,,,True,
i093,i093.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i093.pdb,./dataset/raw/MNSol/water/i093.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0129ben,0129ben.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0129ben.pdb,./dataset/raw/MNSol/water/0129ben.xyz,False,0.0,,129B,2025-12-02 20:48:06,,0,0.0,,,True,
0930tri,0930tri.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0930tri.pdb,./dataset/raw/MNSol/water/0930tri.xyz,False,0.0,,930T,2025-12-02 20:48:06,,0,0.0,,,True,
test2015,test2015.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test2015.pdb,./dataset/raw/MNSol/water/test2015.xyz,False,0.0,,2015,2025-12-02 20:48:06,,0,0.0,,,True,
0084met,0084met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0084met.pdb,./dataset/raw/MNSol/water/0084met.xyz,False,0.0,,84ME,2025-12-02 20:48:06,,0,0.0,,,True,
0213bis,0213bis.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0213bis.pdb,./dataset/raw/MNSol/water/0213bis.xyz,False,0.0,,213B,2025-12-02 20:48:06,,0,0.0,,,True,
i001,i001.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i001.pdb,./dataset/raw/MNSol/water/i001.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0178dib,0178dib.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0178dib.pdb,./dataset/raw/MNSol/water/0178dib.xyz,False,0.0,,178D,2025-12-02 20:48:06,,0,0.0,,,True,
0098met,0098met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0098met.pdb,./dataset/raw/MNSol/water/0098met.xyz,False,0.0,,98ME,2025-12-02 20:48:06,,0,0.0,,,True,
0421dfl,0421dfl.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0421dfl.pdb,./dataset/raw/MNSol/water/0421dfl.xyz,False,0.0,,421D,2025-12-02 20:48:06,,0,0.0,,,True,
i015,i015.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i015.pdb,./dataset/raw/MNSol/water/i015.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0442pho,0442pho.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0442pho.pdb,./dataset/raw/MNSol/water/0442pho.xyz,False,0.0,,442P,2025-12-02 20:48:06,,0,0.0,,,True,
n191,n191.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n191.pdb,./dataset/raw/MNSol/water/n191.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
n162,n162.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n162.pdb,./dataset/raw/MNSol/water/n162.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test0005,test0005.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test0005.pdb,./dataset/raw/MNSol/water/test0005.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i095,i095.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i095.pdb,./dataset/raw/MNSol/water/i095.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0225pipa,0225pipa.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0225pipa.pdb,./dataset/raw/MNSol/water/0225pipa.xyz,False,0.0,,225P,2025-12-02 20:48:06,,0,0.0,,,True,
i070,i070.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i070.pdb,./dataset/raw/MNSol/water/i070.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test1001,test1001.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1001.pdb,./dataset/raw/MNSol/water/test1001.xyz,False,0.0,,1001,2025-12-02 20:48:06,,0,0.0,,,True,
i059,i059.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i059.pdb,./dataset/raw/MNSol/water/i059.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
n201,n201.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n201.pdb,./dataset/raw/MNSol/water/n201.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
c047,c047.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/c047.pdb,./dataset/raw/MNSol/water/c047.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test1011,test1011.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1011.pdb,./dataset/raw/MNSol/water/test1011.xyz,False,0.0,,1011,2025-12-02 20:48:06,,0,0.0,,,True,
i064,i064.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i064.pdb,./dataset/raw/MNSol/water/i064.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i107,i107.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i107.pdb,./dataset/raw/MNSol/water/i107.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i086,i086.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i086.pdb,./dataset/raw/MNSol/water/i086.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test2029,test2029.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test2029.pdb,./dataset/raw/MNSol/water/test2029.xyz,False,0.0,,2029,2025-12-02 20:48:06,,0,0.0,,,True,
0061tet,0061tet.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0061tet.pdb,./dataset/raw/MNSol/water/0061tet.xyz,False,0.0,,61TE,2025-12-02 20:48:06,,0,0.0,,,True,
0561dit,0561dit.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0561dit.pdb,./dataset/raw/MNSol/water/0561dit.xyz,False,0.0,,561D,2025-12-02 20:48:06,,0,0.0,,,True,
c068,c068.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/c068.pdb,./dataset/raw/MNSol/water/c068.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test4004,test4004.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test4004.pdb,./dataset/raw/MNSol/water/test4004.xyz,False,0.0,,4004,2025-12-02 20:48:06,,0,0.0,,,True,
0113pen,0113pen.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0113pen.pdb,./dataset/raw/MNSol/water/0113pen.xyz,False,0.0,,113P,2025-12-02 20:48:06,,0,0.0,,,True,
0928dip,0928dip.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0928dip.pdb,./dataset/raw/MNSol/water/0928dip.xyz,False,0.0,,928D,2025-12-02 20:48:06,,0,0.0,,,True,
test0006,test0006.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test0006.pdb,./dataset/raw/MNSol/water/test0006.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i026,i026.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i026.pdb,./dataset/raw/MNSol/water/i026.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0185bro,0185bro.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0185bro.pdb,./dataset/raw/MNSol/water/0185bro.xyz,False,0.0,,185B,2025-12-02 20:48:06,,0,0.0,,,True,
0563met,0563met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0563met.pdb,./dataset/raw/MNSol/water/0563met.xyz,False,0.0,,563M,2025-12-02 20:48:06,,0,0.0,,,True,
0135met,0135met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0135met.pdb,./dataset/raw/MNSol/water/0135met.xyz,False,0.0,,135M,2025-12-02 20:48:06,,0,0.0,,,True,
i031,i031.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i031.pdb,./dataset/raw/MNSol/water/i031.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0126eth,0126eth.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0126eth.pdb,./dataset/raw/MNSol/water/0126eth.xyz,False,0.0,,126E,2025-12-02 20:48:06,,0,0.0,,,True,
0100met,0100met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0100met.pdb,./dataset/raw/MNSol/water/0100met.xyz,False,0.0,,100M,2025-12-02 20:48:06,,0,0.0,,,True,
0204tet,0204tet.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0204tet.pdb,./dataset/raw/MNSol/water/0204tet.xyz,False,0.0,,204T,2025-12-02 20:48:06,,0,0.0,,,True,
i123,i123.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i123.pdb,./dataset/raw/MNSol/water/i123.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0004nbu,0004nbu.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0004nbu.pdb,./dataset/raw/MNSol/water/0004nbu.xyz,False,0.0,,4NBU,2025-12-02 20:48:06,,0,0.0,,,True,
i025,i025.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i025.pdb,./dataset/raw/MNSol/water/i025.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
i080,i080.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/i080.pdb,./dataset/raw/MNSol/water/i080.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test0012,test0012.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test0012.pdb,./dataset/raw/MNSol/water/test0012.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test2013,test2013.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test2013.pdb,./dataset/raw/MNSol/water/test2013.xyz,False,0.0,,2013,2025-12-02 20:48:06,,0,0.0,,,True,
0409clb,0409clb.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0409clb.pdb,./dataset/raw/MNSol/water/0409clb.xyz,False,0.0,,409C,2025-12-02 20:48:06,,0,0.0,,,True,
0596phe,0596phe.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0596phe.pdb,./dataset/raw/MNSol/water/0596phe.xyz,False,0.0,,596P,2025-12-02 20:48:06,,0,0.0,,,True,
test2024,test2024.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test2024.pdb,./dataset/raw/MNSol/water/test2024.xyz,False,0.0,,2024,2025-12-02 20:48:06,,0,0.0,,,True,
test4006,test4006.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test4006.pdb,./dataset/raw/MNSol/water/test4006.xyz,False,0.0,,4006,2025-12-02 20:48:06,,0,0.0,,,True,
test1018,test1018.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1018.pdb,./dataset/raw/MNSol/water/test1018.xyz,False,0.0,,1018,2025-12-02 20:48:06,,0,0.0,,,True,
test2011,test2011.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test2011.pdb,./dataset/raw/MNSol/water/test2011.xyz,False,0.0,,2011,2025-12-02 20:48:06,,0,0.0,,,True,
test0011,test0011.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test0011.pdb,./dataset/raw/MNSol/water/test0011.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
test3015,test3015.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test3015.pdb,./dataset/raw/MNSol/water/test3015.xyz,False,0.0,,3015,2025-12-02 20:48:06,,0,0.0,,,True,
0547met,0547met.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0547met.pdb,./dataset/raw/MNSol/water/0547met.xyz,False,0.0,,547M,2025-12-02 20:48:06,,0,0.0,,,True,
0090hex,0090hex.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0090hex.pdb,./dataset/raw/MNSol/water/0090hex.xyz,False,0.0,,90HE,2025-12-02 20:48:06,,0,0.0,,,True,
test1031,test1031.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test1031.pdb,./dataset/raw/MNSol/water/test1031.xyz,False,0.0,,1031,2025-12-02 20:48:06,,0,0.0,,,True,
test0001,test0001.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/test0001.pdb,./dataset/raw/MNSol/water/test0001.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0029hex,0029hex.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0029hex.pdb,./dataset/raw/MNSol/water/0029hex.xyz,False,0.0,,29HE,2025-12-02 20:48:06,,0,0.0,,,True,
0572ami,0572ami.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0572ami.pdb,./dataset/raw/MNSol/water/0572ami.xyz,False,0.0,,572A,2025-12-02 20:48:06,,0,0.0,,,True,
n205,n205.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n205.pdb,./dataset/raw/MNSol/water/n205.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
0418bri,0418bri.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/0418bri.pdb,./dataset/raw/MNSol/water/0418bri.xyz,False,0.0,,418B,2025-12-02 20:48:06,,0,0.0,,,True,
n174,n174.xyz,xyz,,pdb,,False,MNSol/water,False,False,dataset/preprocessed/MNSol/water/n174.pdb,./dataset/raw/MNSol/water/n174.xyz,False,0.0,,NAN,2025-12-02 20:48:06,,0,0.0,,,True,
